Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5lcIegmdblnWqT9nS9EhZj,"Up Up And Away","Legends Never Die","Juice WRLD",2020-07-10,147547,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:31:58Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.661,0.665,4,-6.356,0,0.053,0.538,0,0.0981,0.486,75.059,4
spotify:track:6DuHcOuuGWXNvF3uocsrBa,"Can't Die","Legends Never Die","Juice WRLD",2020-07-10,182922,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:33:42Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.652,0.671,2,-5.89,1,0.0756,0.0222,0,0.107,0.274,84.008,4
spotify:track:0JoWBcL61YWLXM5vW0YTHO,"Bad Energy","Legends Never Die","Juice WRLD",2020-07-10,186749,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:34:30Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.654,0.452,7,-6.36,1,0.0439,0.17,0,0.114,0.532,138.034,4
spotify:track:1QoG0Yqz1onMsdbOibZVke,"Titanic","Legends Never Die","Juice WRLD",2020-07-10,176649,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:34:46Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.568,0.545,1,-6.668,0,0.0447,0.168,0,0.112,0.234,174.144,4
spotify:track:6RsRMf9e4KUyo3MecGffNL,"I Want It","Legends Never Die","Juice WRLD",2020-07-10,173113,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:46:29Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.288,0.638,4,-6.935,0,0.0779,0.133,0.0000816,0.14,0.147,66.424,3
spotify:track:1uA914Md6wsy9NDryyBypH,"Man Of The Year","Legends Never Die","Juice WRLD",2020-07-10,136408,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:46:32Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.621,0.695,4,-5.124,1,0.0911,0.00584,0,0.086,0.298,173.966,4
spotify:track:285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,85,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:46:36Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
spotify:track:4VXIryQMWpIdGgYR4TrjT1,"All Girls Are The Same","Goodbye & Good Riddance","Juice WRLD",2018-12-10,165819,84,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:46:38Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4
spotify:track:3oDkdAySo1VQQG0ptV7uwa,"Lean Wit Me","Goodbye & Good Riddance","Juice WRLD",2018-12-10,175755,79,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:47:37Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,4
spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,"Bandit (with YoungBoy Never Broke Again)","Bandit (with YoungBoy Never Broke Again)","Juice WRLD;YoungBoy Never Broke Again",2019-10-04,189322,69,true,21opbfqensrqobjzl3lumijsy,2022-03-23T20:47:47Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,4
